cart_item_id,user_id,product_id,quantity,added_at
1,1,13,1,2025-06-25 00:24:35
2,1,10,1,2025-05-21 11:33:56
3,1,13,2,2025-05-13 13:53:26
4,1,17,1,2025-07-02 19:23:38
5,1,82,1,2025-03-20 02:02:02
6,1,52,2,2025-05-08 12:17:20
7,1,16,1,2025-03-25 01:20:09
8,1,21,2,2025-03-17 23:26:01
9,1,98,2,2025-04-28 12:21:43
10,1,47,1,2025-01-09 04:52:11
11,1,71,2,2025-02-21 10:10:04
12,1,83,2,2025-05-27 11:19:25
13,1,2,1,2025-02-28 14:38:45
14,2,23,2,2024-10-18 18:05:09
15,2,88,2,2024-11-10 05:33:40
16,2,4,1,2022-11-30 05:17:30
17,2,90,2,2025-02-18 03:06:55
18,2,100,2,2024-04-26 17:05:34
19,2,3,1,2021-10-23 03:07:41
20,2,62,2,2024-05-31 13:16:11
21,3,12,2,2024-06-09 13:55:04
22,3,69,1,2022-03-01 03:58:59
23,3,76,2,2024-11-25 18:46:47
24,3,99,2,2024-11-04 03:38:07
25,3,95,1,2023-03-26 11:13:46
26,3,25,2,2023-02-28 07:11:57
27,3,57,1,2023-03-25 07:23:29
28,3,56,2,2023-04-02 10:06:43
29,3,68,1,2024-02-23 06:06:47
30,3,93,1,2023-10-07 12:29:40
31,3,17,2,2022-03-13 16:35:04
32,3,45,1,2024-01-08 04:25:10
33,4,41,2,2025-07-16 01:10:01
34,4,53,1,2025-07-24 18:45:56
35,4,55,2,2025-07-29 08:14:33
36,5,9,2,2024-11-13 13:01:38
37,5,48,1,2022-09-06 20:35:42
38,5,20,2,2023-10-01 09:01:44
39,5,61,1,2021-09-12 20:15:28
40,5,92,2,2022-09-14 20:09:12
41,5,18,1,2024-03-30 16:28:14
42,5,40,1,2022-09-08 04:40:16
43,5,90,2,2021-07-04 03:51:15
44,5,84,1,2024-12-23 05:42:40
45,5,3,2,2023-06-12 00:30:35
46,5,66,2,2022-03-19 08:58:31
47,5,56,1,2021-03-31 22:35:58
48,5,62,2,2021-02-13 03:34:06
49,5,51,1,2021-09-07 09:58:21
50,6,34,1,2023-01-29 02:57:10
51,6,41,1,2024-03-10 12:13:57
52,6,54,1,2022-03-24 20:34:10
53,6,97,1,2024-08-30 04:11:54
54,6,70,2,2025-05-31 12:34:35
55,6,49,1,2024-10-13 03:52:07
56,6,96,2,2025-01-21 16:11:43
57,6,63,1,2023-06-16 06:30:52
58,7,10,1,2022-01-01 22:00:07
59,7,91,2,2024-02-11 02:39:35
60,7,47,1,2023-09-20 10:54:53
61,7,52,2,2021-09-10 18:28:04
