order_item_id,order_id,product_id,quantity,price_per_item
1,1,73,1,167900.0
2,1,42,1,106700.0
3,1,100,2,163100.0
4,1,71,2,43000.0
5,2,64,1,162500.0
6,3,78,1,116600.0
7,4,64,1,162500.0
8,5,64,2,162500.0
9,6,61,2,129100.0
10,6,16,3,191900.0
11,7,45,3,92000.0
12,7,26,2,80600.0
13,7,56,1,47100.0
14,8,45,2,92000.0
15,9,31,2,153200.0
16,9,84,3,152600.0
17,9,5,3,66100.0
18,9,78,1,116600.0
19,10,74,1,118800.0
20,10,6,1,133000.0
21,10,42,2,106700.0
22,10,7,3,180200.0
23,11,71,3,43000.0
24,11,37,2,30100.0
25,11,38,1,45700.0
26,11,1,1,50500.0
27,12,14,1,24600.0
28,12,49,3,182200.0
29,13,55,3,175900.0
30,13,69,2,66500.0
31,14,57,1,171600.0
32,14,45,3,92000.0
33,15,92,1,78300.0
34,15,100,3,163100.0
35,15,2,3,122600.0
36,16,63,2,113600.0
37,16,36,2,40400.0
38,17,65,1,58300.0
39,17,10,2,84800.0
40,18,4,2,44600.0
41,18,100,1,163100.0
42,19,75,3,43200.0
43,19,21,1,67000.0
44,20,67,3,112500.0
45,20,8,2,141000.0
46,20,75,2,43200.0
47,20,21,2,67000.0
48,21,17,2,64600.0
49,21,32,2,109400.0
50,21,8,1,141000.0
51,21,34,1,108700.0
52,22,4,1,44600.0
53,22,56,2,47100.0
54,22,24,1,132700.0
55,23,51,1,89900.0
56,24,13,1,163100.0
57,24,64,2,162500.0
58,24,51,3,89900.0
59,24,55,1,175900.0
60,25,45,2,92000.0
61,25,3,3,45200.0
62,25,34,1,108700.0
63,26,16,2,191900.0
64,27,11,2,102300.0
65,27,27,3,166600.0
66,27,24,2,132700.0
67,27,50,2,102000.0
68,28,98,1,42400.0
69,28,100,1,163100.0
70,28,72,3,112700.0
71,29,73,2,167900.0
72,30,85,1,80700.0
73,30,14,1,24600.0
74,30,95,2,118800.0
75,30,73,2,167900.0
76,31,63,3,113600.0
77,31,100,1,163100.0
78,32,95,2,118800.0
79,32,81,3,38900.0
80,32,73,3,167900.0
81,33,34,1,108700.0
82,34,96,2,45000.0
83,34,24,2,132700.0
84,34,20,1,103600.0
85,35,52,1,145700.0
86,35,57,2,171600.0
87,36,49,3,182200.0
88,36,83,1,142200.0
89,36,10,3,84800.0
90,36,29,2,96200.0
91,37,61,3,129100.0
92,37,32,2,109400.0
93,38,76,2,106600.0
94,38,88,1,30000.0
95,39,90,1,167100.0
96,39,75,1,43200.0
97,39,25,1,32500.0
98,40,45,3,92000.0
99,40,39,2,35100.0
100,41,13,3,163100.0
101,42,45,3,92000.0
102,43,50,3,102000.0
103,43,24,1,132700.0
104,43,98,1,42400.0
105,44,25,1,32500.0
106,44,24,2,132700.0
107,44,100,1,163100.0
108,44,55,2,175900.0
109,45,1,3,50500.0
110,45,12,2,134700.0
111,46,85,3,80700.0
112,46,93,3,147300.0
113,47,18,1,40900.0
114,48,95,3,118800.0
115,49,69,3,66500.0
116,50,20,3,103600.0
117,50,12,2,134700.0
118,50,38,1,45700.0
119,51,94,3,115900.0
120,51,57,1,171600.0
121,52,46,2,22200.0
122,52,63,1,113600.0
123,53,60,1,88000.0
124,53,2,1,122600.0
125,54,35,2,119700.0
126,55,2,1,122600.0
127,55,42,2,106700.0
128,55,58,3,69200.0
129,56,43,3,98200.0
130,56,5,2,66100.0
131,56,48,3,133300.0
132,57,7,1,180200.0
133,57,67,3,112500.0
134,57,84,3,152600.0
135,57,100,3,163100.0
136,58,77,1,176300.0
